income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies
56274,69,32,5,0,1
0,94,13,42,0,8
48767,108,18,38,0,2
0,106,18,65,0,7
43836,73,12,44,0,1
62902,69,14,94,0,2
55350,67,0,13,0,9
0,101,0,68,0,4
14072,71,13,3,0,2
28812,93,17,7,0,8
0,67,23,5,0,3
0,110,27,87,0,3
77026,110,9,82,2,3
99845,110,23,25,1,8
83689,70,21,10,2,8
24599,64,12,50,1,2
25049,67,14,7,0,1
28855,101,12,59,0,1
51148,72,9,1,0,7
66140,101,11,21,0,3
57749,74,31,21,0,1
13789,79,8,49,0,1
14072,71,13,3,0,2
0,73,4,44,3,1
17870,61,30,91,0,1
97541,72,22,1,0,3
0,111,15,47,0,1
10511,139,33,64,0,1
86584,111,33,54,2,2
75690,80,17,44,1,1
23158,63,4,6,1,1
65999,237,1,14,0,6
0,65,19,56,0,3
54500,63,28,17,0,6
37260,62,19,42,0,8
68987,71,11,40,0,6
42305,117,10,62,0,2
65706,91,19,86,0,8
0,90,7,79,0,1
53243,66,4,15,2,1
0,70,7,1,1,1
50071,71,3,32,0,1
60021,99,12,28,0,1
43244,103,15,16,0,2
92834,61,15,56,0,1
10105,172,5,4,3,3
0,73,7,57,3,5
23218,71,7,10,0,4
0,92,11,77,0,1
0,62,11,56,0,1
24804,104,1,28,0,2
33190,106,18,95,0,2
36014,69,4,40,3,2
29834,64,19,44,0,3
16701,113,20,26,0,1
46623,91,1,53,0,3
64749,64,24,59,0,2
0,101,29,12,0,1
16969,124,34,47,2,1
11621,108,4,98,0,1
17622,65,1,36,1,3
11489,105,4,50,0,6
0,94,20,53,0,1
66525,100,0,86,0,2
0,63,21,28,0,2
33663,73,29,71,0,1
22547,112,7,60,0,3
61486,97,5,65,0,2
0,95,13,20,0,5
29879,102,17,0,0,2
93011,113,17,12,0,2
65186,65,29,27,0,1
26840,64,1,47,2,1
0,104,30,3,1,5
75644,65,5,68,3,9
38984,73,27,38,0,2
71811,71,17,48,0,6
20961,67,20,33,0,2
38923,99,6,83,2,2
61321,186,0,30,1,2
0,77,20,26,0,2
51066,74,23,0,0,8
34378,102,12,54,0,1
43072,63,35,15,0,1
25222,90,28,69,0,3
36765,66,15,32,1,2
23091,96,28,90,5,5
48269,69,3,79,3,1
32720,67,13,12,0,1
20396,76,15,60,1,4
21513,119,21,81,1,2
72540,88,7,3,0,2
80744,63,24,84,0,1
52822,67,23,88,0,1
0,77,8,10,1,9
69738,74,2,26,1,2
17780,109,12,18,0,9
18107,62,29,11,0,8
57740,74,30,87,3,9
32627,76,11,60,0,7
0,107,3,65,0,3
0,70,24,10,0,1
65795,62,2,85,1,3
60475,107,9,18,0,1
0,130,28,88,0,4
41837,88,29,93,0,9
32303,65,13,34,0,2
0,117,5,89,1,3
40531,74,17,32,0,9
79898,62,5,86,1,1
56398,85,4,18,0,7
35257,98,16,2,1,8
27804,109,19,54,0,7
45506,66,16,32,2,2
65196,67,0,54,0,2
0,102,11,70,1,3
20993,133,35,90,0,1
37839,86,35,77,0,9
92711,62,24,10,0,1
74665,78,10,90,2,1
0,83,26,89,0,1
46833,112,6,3,0,9
88768,68,17,77,0,7
28262,192,9,77,0,3
33555,63,17,11,0,1
42780,113,10,27,1,2
58850,78,20,26,0,1
21880,97,29,37,0,1
25251,66,13,43,0,2
0,69,9,12,0,2
24188,109,14,82,0,1
41611,74,14,8,0,8
28406,72,16,35,1,4
69833,118,32,99,0,1
0,74,15,91,0,2
0,117,6,1,0,1
80536,119,5,83,0,3
0,63,2,5,0,1
97732,79,0,70,0,2
61222,89,20,55,0,2
0,74,7,20,0,1
50335,140,9,54,0,1
0,127,30,11,0,6
63221,168,28,49,0,1
0,96,31,34,0,1
64495,92,34,30,0,1
0,72,7,75,0,2
28859,67,24,51,3,4
77330,99,0,21,0,3
0,105,3,92,0,1
24495,70,29,65,0,1
