,effective_to_date,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount
0,2011-02-24,56274,69,32,5,0,1,384.811147
1,2011-01-31,0,94,13,42,0,8,1131.464935
2,2011-02-19,48767,108,18,38,0,2,566.472247
3,2011-01-20,0,106,18,65,0,7,529.881344
4,2011-02-03,43836,73,12,44,0,1,138.130879
5,2011-01-25,62902,69,14,94,0,2,159.383042
6,2011-02-24,55350,67,0,13,0,9,321.6
7,2011-01-18,0,101,0,68,0,4,363.02968
8,2011-01-26,14072,71,13,3,0,2,511.2
9,2011-02-17,28812,93,17,7,0,8,425.527834
10,2011-02-21,0,67,23,5,0,3,482.4
11,2011-01-06,0,110,27,87,0,3,528.0
12,2011-02-06,77026,110,9,82,2,3,472.029737
13,2011-01-10,99845,110,23,25,1,8,528.0
14,2011-01-18,83689,70,21,10,2,8,307.139132
15,2011-01-17,24599,64,12,50,1,2,42.920271
16,2011-02-06,25049,67,14,7,0,1,454.245098
17,2011-01-05,28855,101,12,59,0,1,647.442031
18,2011-02-27,51148,72,9,1,0,7,308.981664
19,2011-01-14,66140,101,11,21,0,3,484.8
20,2011-02-19,57749,74,31,21,0,1,355.2
21,2011-01-21,13789,79,8,49,0,1,379.2
22,2011-01-26,14072,71,13,3,0,2,511.2
23,2011-02-24,0,73,4,44,3,1,554.376763
24,2011-02-05,17870,61,30,91,0,1,439.2
25,2011-01-29,97541,72,22,1,0,3,389.185006
26,2011-02-28,0,111,15,47,0,1,799.2
27,2011-02-12,10511,139,33,64,0,1,516.237951
28,2011-02-02,86584,111,33,54,2,2,532.8
29,2011-02-07,75690,80,17,44,1,1,384.0
30,2011-02-28,23158,63,4,6,1,1,322.294043
31,2011-01-22,65999,237,1,14,0,6,615.927769
32,2011-01-25,0,65,19,56,0,3,308.15089
33,2011-01-18,54500,63,28,17,0,6,302.4
34,2011-02-13,37260,62,19,42,0,8,15.437681
35,2011-01-15,68987,71,11,40,0,6,204.475147
36,2011-01-08,42305,117,10,62,0,2,561.6
37,2011-02-06,65706,91,19,86,0,8,436.8
38,2011-01-25,0,90,7,79,0,1,648.0
39,2011-02-07,53243,66,4,15,2,1,157.397849
